epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.82352,1.35233,3.24663,1.33578,0.03525,0.13861,0.01877,0.00971,1.39343,3.48869,1.33985,4.287e-05,4.287e-05,4.287e-05
2,5.20911,1.19203,2.50725,1.21653,0.61542,0.65775,0.67966,0.50615,0.91965,1.66045,0.98313,9.90397e-05,9.90397e-05,9.90397e-05
3,8.12726,0.9361,1.14014,0.99551,0.72091,0.70569,0.79736,0.59958,0.8539,1.52654,0.95554,0.000154078,0.000154078,0.000154078
4,11.0608,0.83781,0.87629,0.95209,0.80992,0.7857,0.85663,0.68359,0.80738,1.0713,0.9218,0.000207984,0.000207984,0.000207984
5,13.8673,0.80084,0.80048,0.95291,0.83892,0.8477,0.8952,0.7205,0.73841,1.42749,0.892,0.000260758,0.000260758,0.000260758
6,16.7079,0.82635,0.80864,0.97359,0.91054,0.87717,0.92341,0.75048,0.80562,0.83532,0.91325,0.000312401,0.000312401,0.000312401
7,19.4547,0.80253,0.7663,0.95354,0.74494,0.82206,0.82198,0.6576,0.78648,1.20246,0.91545,0.000362912,0.000362912,0.000362912
8,22.1036,0.81395,0.75475,0.94892,0.79864,0.84341,0.88493,0.71287,0.7841,0.94719,0.91638,0.000412291,0.000412291,0.000412291
9,24.6609,0.77887,0.78853,0.96536,0.87802,0.88181,0.94454,0.75909,0.78091,0.87954,0.91544,0.000460538,0.000460538,0.000460538
10,27.4928,0.8009,0.71392,0.96606,0.73214,0.90465,0.83757,0.66685,0.76551,1.4689,0.93485,0.000507654,0.000507654,0.000507654
11,30.0267,0.78858,0.63037,0.96334,0.79168,0.90903,0.86855,0.68162,0.78548,1.54831,0.93516,0.000553637,0.000553637,0.000553637
12,32.5687,0.78269,0.67471,0.96353,0.82944,0.8903,0.92615,0.73719,0.7798,0.9884,0.91823,0.000598489,0.000598489,0.000598489
13,35.1354,0.79245,0.67373,0.93128,0.65287,0.80614,0.74773,0.57671,0.79591,1.77123,0.92646,0.00064221,0.00064221,0.00064221
14,37.836,0.76057,0.61637,0.9263,0.69198,0.7979,0.80971,0.6162,0.76981,1.38882,0.91628,0.000684798,0.000684798,0.000684798
15,40.4481,0.72546,0.65194,0.92376,0.67502,0.79817,0.78222,0.60852,0.75505,1.49489,0.91416,0.000726255,0.000726255,0.000726255
16,43.0735,0.77691,0.65152,0.93151,0.69171,0.87633,0.76423,0.59154,0.75442,2.19451,0.92722,0.00076658,0.00076658,0.00076658
17,45.6543,0.78047,0.66204,0.97421,0.60757,0.8714,0.71864,0.53827,0.77905,2.39404,0.9358,0.000805773,0.000805773,0.000805773
18,48.2945,0.78944,0.61422,0.94409,0.69578,0.91161,0.82955,0.66051,0.72433,1.7993,0.9112,0.000843835,0.000843835,0.000843835
19,50.8832,0.72824,0.63199,0.95899,0.69578,0.91161,0.82955,0.66051,0.72433,1.7993,0.9112,0.000880764,0.000880764,0.000880764
20,53.4748,0.75808,0.61249,0.93328,0.80433,0.91764,0.89907,0.71873,0.73263,1.00415,0.90519,0.000916562,0.000916562,0.000916562
21,56.0716,0.77248,0.61662,0.94403,0.78091,0.9135,0.87135,0.65488,0.82939,1.24934,0.93785,0.000951228,0.000951228,0.000951228
22,58.6439,0.72432,0.5655,0.92584,0.75766,0.92717,0.90255,0.70536,0.77427,0.95039,0.94187,0.000984762,0.000984762,0.000984762
23,61.2642,0.74826,0.57448,0.93886,0.7646,0.91732,0.84588,0.66581,0.74291,0.94283,0.92518,0.00101717,0.00101717,0.00101717
24,63.9014,0.74635,0.65702,0.93438,0.7646,0.91732,0.84588,0.66581,0.74291,0.94283,0.92518,0.00104844,0.00104844,0.00104844
25,66.5456,0.72255,0.59623,0.9447,0.82439,0.96074,0.93254,0.75553,0.72717,1.00995,0.91626,0.00107857,0.00107857,0.00107857
26,69.1932,0.71944,0.55743,0.91825,0.74031,0.93731,0.91507,0.76559,0.70239,0.93028,0.89657,0.00107532,0.00107532,0.00107532
27,71.9189,0.73276,0.56972,0.92479,0.74031,0.93731,0.91507,0.76559,0.70239,0.93028,0.89657,0.00106118,0.00106118,0.00106118
28,74.7362,0.69901,0.54474,0.9219,0.84994,0.94274,0.96071,0.79286,0.69774,0.74826,0.89451,0.00104703,0.00104703,0.00104703
29,77.5238,0.69168,0.51616,0.91769,0.86076,0.92281,0.95108,0.79508,0.68907,0.78379,0.88831,0.00103288,0.00103288,0.00103288
30,80.3282,0.69014,0.5402,0.91372,0.86076,0.92281,0.95108,0.79508,0.68907,0.78379,0.88831,0.00101873,0.00101873,0.00101873
31,83.2074,0.72002,0.54919,0.92865,0.86875,0.9304,0.9061,0.76287,0.66222,0.72221,0.87799,0.00100459,0.00100459,0.00100459
32,85.8926,0.73031,0.5413,0.95337,0.85693,0.9573,0.91499,0.76955,0.652,0.71006,0.87242,0.00099044,0.00099044,0.00099044
33,88.4876,0.73027,0.55487,0.94143,0.85693,0.9573,0.91499,0.76955,0.652,0.71006,0.87242,0.000976293,0.000976293,0.000976293
34,91.0792,0.68478,0.54101,0.93124,0.88651,0.93982,0.9607,0.80975,0.66422,0.66647,0.88165,0.000962146,0.000962146,0.000962146
35,93.907,0.68286,0.49469,0.91191,0.92686,0.96752,0.98599,0.82749,0.64222,0.512,0.86607,0.000947999,0.000947999,0.000947999
36,96.6829,0.72475,0.522,0.94955,0.92686,0.96752,0.98599,0.82749,0.64222,0.512,0.86607,0.000933851,0.000933851,0.000933851
37,99.5544,0.7104,0.49702,0.91318,0.9345,0.96688,0.98575,0.83561,0.63095,0.48526,0.86205,0.000919704,0.000919704,0.000919704
38,102.332,0.68007,0.47081,0.89928,0.94538,0.96729,0.98312,0.82542,0.68521,0.48704,0.88533,0.000905557,0.000905557,0.000905557
39,104.969,0.68818,0.48376,0.9172,0.94538,0.96729,0.98312,0.82542,0.68521,0.48704,0.88533,0.00089141,0.00089141,0.00089141
40,107.53,0.72062,0.54369,0.96038,0.94763,0.96489,0.98091,0.83683,0.65571,0.45219,0.87547,0.000877263,0.000877263,0.000877263
41,110.399,0.6589,0.50398,0.91026,0.92581,0.98281,0.98323,0.84014,0.6249,0.43238,0.85933,0.000863116,0.000863116,0.000863116
42,113.402,0.67993,0.51265,0.90159,0.92581,0.98281,0.98323,0.84014,0.6249,0.43238,0.85933,0.000848969,0.000848969,0.000848969
43,116.301,0.67619,0.48651,0.92589,0.89759,0.97579,0.98854,0.85662,0.59829,0.45801,0.84986,0.000834822,0.000834822,0.000834822
44,119.185,0.65698,0.45277,0.91108,0.92832,0.95917,0.98854,0.84511,0.64733,0.47616,0.86519,0.000820675,0.000820675,0.000820675
45,121.876,0.68058,0.46545,0.90556,0.92832,0.95917,0.98854,0.84511,0.64733,0.47616,0.86519,0.000806528,0.000806528,0.000806528
46,124.6,0.67113,0.45737,0.89322,0.95537,0.9797,0.98801,0.84934,0.6216,0.43616,0.85626,0.00079238,0.00079238,0.00079238
47,127.373,0.61774,0.43605,0.8825,0.95918,0.99013,0.9879,0.85448,0.58511,0.39846,0.8434,0.000778233,0.000778233,0.000778233
48,130.13,0.63895,0.4614,0.901,0.95918,0.99013,0.9879,0.85448,0.58511,0.39846,0.8434,0.000764086,0.000764086,0.000764086
49,132.849,0.6489,0.45456,0.92166,0.96485,0.98602,0.99133,0.85913,0.57372,0.38197,0.84133,0.000749939,0.000749939,0.000749939
